CustomerID,SatisfactionScore,CLTV
8779-QRDMV,3,5433
7495-OOKFY,3,5302
1658-BYGOY,2,3179
4598-XLKNJ,2,5337
4846-WHAFZ,2,2793
4412-YLTKF,1,4638
0390-DCFDQ,2,3964
3445-HXXGF,1,5444
2656-FMOKZ,2,5717
2070-FNEXE,2,4419
0094-OIFMO,1,5980
9947-OTFQU,1,4616
9514-JDSKI,2,5828
7273-TEFQD,2,2314
3606-TWKGI,1,2494
4385-GZQXV,1,3810
3488-PGMQJ,2,4345
7534-BFESC,2,2018
8098-LLAZX,3,3677
0265-EDXBD,2,4105
2840-XANRC,2,2212
5020-ZSTTY,1,4149
5804-LEPIM,3,2671
0623-IIHUG,1,4778
9057-MSWCO,1,2927
4895-TMWIR,1,5888
0533-BNWKF,1,5502
0334-GDDSO,1,2818
5564-NEMQO,2,4902
6235-VDHOM,2,4099
5609-CEBID,1,2666
5956-VKDTT,1,5273
0257-ZESQC,1,4517
2865-TCHJW,1,5808
5192-EBGOV,1,4880
3419-SNJJD,1,4196
4554-YGZIH,2,5059
5099-BAILX,2,2728
4913-EHYUI,1,6268
1626-ERCMM,1,5604
5644-PDMZC,2,2065
4160-AMJTL,2,5432
0823-HSCDJ,2,5597
0067-DKWBL,2,3475
5244-IRFIH,3,4333
2684-EIWEO,1,2482
6683-VLCTZ,3,5444
0691-IFBQW,1,2403
3643-AHCFP,3,3265
9231-ZJYAM,3,5301
0727-BMPLR,3,5679
0947-MUGVO,1,5849
0781-LKXBR,1,4038
1907-UBQFC,1,3189
6513-EECDB,2,4369
7074-IEVOJ,1,3501
4750-ZRXIU,1,2467
7028-DVOIQ,1,2074
4208-UFFGW,2,5900
9889-TMAHG,1,5084
8919-FYFQZ,1,4829
6646-QVXLR,1,5052
9369-XFEHK,2,3601
1374-DMZUI,2,5419
1989-PRJHP,1,2377
4822-RVYBB,1,5906
4184-TJFAN,1,4486
4145-UQXUQ,1,5662
1236-WFCDV,3,4777
1271-SJBGZ,1,2437
4441-NIHPT,1,2995
8999-BOHSE,2,2202
7029-RPUAV,3,5508
8111-SLLHI,3,4687
5293-WXJAK,3,4553
4086-YQSNZ,2,3834
8399-YNDCH,1,4716
5565-FILXA,2,5913
4187-CINZD,2,3180
6818-WOBHJ,1,5651
9134-CEQMF,2,3077
8519-IMDHU,1,4981
3372-KWFBM,3,2508
7206-GZCDC,2,4371
1768-ZAIFU,1,5688
3793-MMFUH,1,2230
6567-HOOPW,3,4363
8621-MNIHH,1,3369
5419-CONWX,1,2268
7024-OHCCK,3,4193
5357-TZHPP,2,5745
0506-LVNGN,1,4028
9809-IMGCQ,1,4458
3254-YRILK,1,5683
0529-ONKER,3,2099
5240-IJOQT,1,3348
0661-XEYAN,1,3884
2660-EMUBI,1,5353
7675-OZCZG,3,4145
9391-EOYLI,2,5374
2761-OCIAX,2,2803
3068-OMWZA,1,3106
